recordID,subjectLocation
667,West (U.S.)
667,West (U.S.)
668,Texas
669,Germany
670,Mexico
670,Mexico
671,Texas
671,Arkansas
671,Louisiana
671,United States
671,Marshall (Tex.)
672,Fort Reno (Okla.)
672,El Reno Region (Okla.)
673,British Columbia
674,New England
675,United States
675,United States
676,"Hollywood (Los Angeles, Calif.)"
676,Texas
677,Mediterranean Region
678,"Europe, Eastern"
678,United States
678,United States
679,South America
680,Indiana
681,Jerusalem
682,West (U.S.)
683,United States
683,United States
684,United States
684,United States
685,Japan
686,Germany
686,Germany
687,San Juan River Valley (Colo.-Utah)
688,Florence (Italy)
689,Santa Barbara (Calif.)
690,United States
690,United States
691,Atchafalaya River (La.)
691,Atchafalaya River (La.)
692,Egypt
692,Egypt
692,Egypt
692,Egypt
693,Norway
694,West (U.S.)
694,West (U.S.)
694,West (U.S.)
695,Moon
696,United States
697,Italy
698,"Southwest, New"
698,"Southwest, New"
698,"Southwest, New"
698,Mexico
699,Charleston (S.C.)
700,Mexico
700,Mexico
700,Mexico
701,Southern States
702,Rwanda
703,Germany
703,Europe
703,Germany
703,Europe
704,Santa Fe (N.M.)
705,Russia (Federation)
706,North America
706,North America
706,North America.
707,Mexico
708,Mackinac Island (Mich. : Island)
708,Mackinac Island (Mich. : Island)
708,Mackinac Island (Mich. : Island)
709,Southern States
710,United States
711,Vancouver (Wash.)
711,Vancouver (Wash.)
711,Vancouver (Wash.)
712,"Southwest, Old"
712,Texas
712,United States
713,London (Ont.)
713,London (Ont.)
714,Mexican-American Border Region
715,Mars (Planet)
715,Mars (Planet)
716,United States
716,United States
717,United States
717,Southern States
718,South Africa
718,South Africa
719,Montgomery (Alabama)
719,Montgomery (Alabama)
720,"Africa, Sub-Saharan"
720,"Africa, Sub-Saharan"
721,Norway
722,Taiwan
722,Taiwan.
723,Minnesota
724,Iraq
724,Iraq
725,Soviet Union
725,Soviet Union
726,France
727,Overland Trails
727,West (U.S.)
727,West (U.S.)
727,Overland Trails.
727,West (U.S.)
728,Mali
728,Mali
728,Mali
729,Monterey Peninsula (Calif.)
729,Monterey Peninsula (Calif.)
730,United States
731,India
732,Jupiter (Planet)
732,Jupiter (Planet)
733,Mercury (Planet)
733,Mercury (Planet)
734,Uranus (Planet)
734,Neptune (Planet)
734,Pluto (Dwarf planet)
734,Uranus (Planet)
734,Neptune (Planet)
734,Pluto (Dwarf planet)
735,Saturn (Planet)
735,Saturn (Planet)
736,Sun
736,Sun.
737,Venus (Planet)
737,Venus (Planet)
738,Southwestern States
739,Asia
739,Oceania
740,Germany
741,San Francisco (Calif.)
742,China
743,King of Prussia (Pa.)
744,Scotland
745,Casas Grandes Site (Mexico)
745,Chihuahua (Mexico : State)
746,Italy
746,Lucca (Italy)
747,Texas
747,Texas
748,Llano Estacado
748,Llano Estacado
749,Germany
750,Puget Sound Region (Wash.)
751,Earth (Planet)
751,Earth (Planet)
752,Africa
753,United States
753,United States
754,United States
754,United States
754,United States
755,Saudi Arabia
755,Saudi Arabia.
756,Austria
756,Austria.
757,South Asia
757,East Asia
757,Southeast Asia
757,South Asia.
757,East Asia.
757,Southeast Asia.
758,Lewis Creek (Vt.)
759,California
760,California
760,California
760,Mexico
761,California
762,"Southwest, New"
763,United States
763,United States
763,United States
764,Korea (South)
765,"Titicaca, Lake, Region (Peru and Bolivia)"
766,United States
767,Brazil
767,Brazil
768,Philadelphia (Pa.)
769,Canterbury (Conn.)
770,Mobile (Ala.)
770,Mobile (Ala.)
770,Mobile (Ala.)
771,United States
771,United States
772,Dallas (Tex.)
773,Rainy Lake Region (Minn. and Ont.)
773,Rainy Lake Region (Minn. and Ont.)
773,Rainy Lake Region (Minn. and Ont.)
774,Prague (Czech Republic)
775,Newton County (Ark.)
775,Arkansas
776,Wyoming
777,Santa Fe (N.M.)
778,"Michigan, Lake, Region"
779,United States
780,France
781,United States
781,United States
781,United States
781,United States
782,New Haven (Conn.)
782,New Haven (Conn.)
783,"Southwest, New"
783,Southwestern States
783,"Southwest, New"
783,"Southwest, New"
784,Stillwater Marsh (Nev.)
784,Stillwater Range (Nev.)
784,Nevada
785,"Africa, Sub-Saharan"
785,Europe
785,"Africa, Sub-Saharan"
785,America
786,Anderson (S.C.)
786,Anderson (S.C.)
786,Anderson (S.C.)
787,United States
787,United States
788,Central America
788,Mexico
789,Oceania
789,Oceania
789,Australia
789,Australia
789,New Zealand
789,New Zealand
789,Antarctica
789,Antarctica
789,Oceania.
789,Australia.
789,New Zealand.
789,Antarctica.
790,La Rioja (Argentina : Province)
791,Great Britain
791,Great Britain
792,Africa
793,Alabama
793,Alabama
793,Alabama
794,India
794,India
794,Great Britain
795,Utah
796,United States
796,United States
797,Southern States
797,Southern States
797,Southern States
798,North Carolina
799,United States
800,California
801,California
801,California
801,San Francisco (Calif.)
801,California
801,San Francisco (Calif.)
802,United States
803,Birmingham (Ala.)
804,United States
805,North America
805,"Southwest, New"
805,Florida
806,Virginia
806,Virginia
806,United States
807,Split (Croatia)
808,"California, Northern"
808,Goldsboro (N.C.)
809,Developing countries
810,Gulf Coast (U.S.)
811,Houston (Tex.)
811,Houston (Tex.)
812,United States
813,New York (State)
813,New Amsterdam
813,New York (State)
814,Los Angeles (Calif.)
815,Great Britain
816,"Golden Gate Park (San Francisco, Calif.)"
816,"Golden Gate Park (San Francisco, Calif.)"
816,"Golden Gate Park (San Francisco, Calif.)"
816,San Francisco (Calif.)
816,San Francisco (Calif.)
817,Green River (Utah)
818,China
818,China
818,China
